tem,Month,Year,rain,forest_area
18.0454,1,1975,2.66038,15.48
20.7283,2,1975,12.4828,15.48
25.4553,3,1975,12.8183,15.48
28.2002,4,1975,94.5976,15.48
28.0144,5,1975,251.874,15.48
28.3837,6,1975,338.62,15.48
27.1209,7,1975,682.34,15.48
27.9833,8,1975,279.506,15.48
27.5182,9,1975,343.686,15.48
27.4014,10,1975,195.543,15.48
22.4417,11,1975,51.6203,15.48
18.307,12,1975,0.85572,16.7
18.3264,1,1976,1.18694,16.7
21.1868,2,1976,17.157,16.7
25.5237,3,1976,31.1362,16.7
27.7962,4,1976,81.9646,16.7
27.4224,5,1976,284.795,16.7
27.5163,6,1976,652.306,16.7
27.8497,7,1976,473.475,16.7
27.3903,8,1976,435.298,16.7
27.8908,9,1976,215.449,16.7
26.592,10,1976,98.277,16.7
24.3715,11,1976,41.4419,16.7
19.1128,12,1976,2.1749,16.7
17.9541,1,1977,3.89109,16.71
20.3662,2,1977,33.824,16.71
26.3199,3,1977,25.9827,16.71
26.1722,4,1977,304.988,16.71
26.4029,5,1977,329.388,16.71
27.1542,6,1977,490.912,16.71
27.9848,7,1977,514.169,16.71
28.1256,8,1977,287.439,16.71
28.3048,9,1977,184.801,16.71
26.0245,10,1977,149.403,16.71
23.717,11,1977,35.8673,16.71
19.1805,12,1977,19.7034,16.71
16.8006,1,1978,0.6893,16.73
20.2042,2,1978,7.28948,16.73
24.0473,3,1978,25.2145,16.73
27.0655,4,1978,137.157,16.73
27.3758,5,1978,363.313,16.73
27.4932,6,1978,488.343,16.73
27.9215,7,1978,425.095,16.73
28.6085,8,1978,359.019,16.73
27.6907,9,1978,372.462,16.73
27.517,10,1978,107.964,16.73
24.0292,11,1978,8.64631,16.73
19.7649,12,1978,0.58537,16.73
19.1725,1,1979,11.8392,17.28
20.0549,2,1979,15.3143,17.28
24.9246,3,1979,20.5132,17.28
28.2364,4,1979,80.0346,17.28
29.526,5,1979,116.378,17.28
28.8,6,1979,425.375,17.28
28.2819,7,1979,526.512,17.28
28.2275,8,1979,536.167,17.28
28.0401,9,1979,417.903,17.28
26.9451,10,1979,113.73,17.28
25.1142,11,1979,25.5128,17.28
20.0687,12,1979,40.2626,17.28
18.2739,1,1980,3.3678,17.22
20.6525,2,1980,42.1885,17.22
25.0401,3,1980,60.7095,17.22
28.7934,4,1980,74.1954,17.22
27.1723,5,1980,347.529,17.22
28.2177,6,1980,340.656,17.22
28.1036,7,1980,516.119,17.22
28.1573,8,1980,395.61,17.22
28.396,9,1980,246.292,17.22
26.4103,10,1980,185.85,17.22
23.3395,11,1980,1.61647,17.22
20.3604,12,1980,0.85529,17.22
18.3163,1,1981,23.5086,17.32
20.644,2,1981,27.508,17.32
24.1726,3,1981,86.7601,17.32
25.7174,4,1981,378.903,17.32
27.1297,5,1981,326.596,17.32
28.551,6,1981,405.931,17.32
27.6783,7,1981,679.557,17.32
28.462,8,1981,376.863,17.32
27.9154,9,1981,264.709,17.32
27.2273,10,1981,22.197,17.32
23.4404,11,1981,1.09602,17.32
19.0389,12,1981,44.4069,17.32
18.9885,1,1982,0.37417,13.67
20.5124,2,1982,21.1194,13.67
23.7499,3,1982,39.1975,13.67
26.815,4,1982,179.316,13.67
28.9711,5,1982,166.775,13.67
27.9965,6,1982,413.265,13.67
28.5086,7,1982,420.955,13.67
27.9058,8,1982,544.534,13.67
28.1703,9,1982,284.621,13.67
27.0648,10,1982,39.4172,13.67
22.5962,11,1982,38.9091,13.67
18.8501,12,1982,3.49806,13.67
18.0039,1,1983,11.3977,13.83
19.7179,2,1983,36.6821,13.83
24.6127,3,1983,104.064,13.83
26.9736,4,1983,191.055,13.83
27.4698,5,1983,377.107,13.83
28.7935,6,1983,396.943,13.83
28.5904,7,1983,434.307,13.83
28.1526,8,1983,484.295,13.83
28.1086,9,1983,305.01,13.83
27.015,10,1983,280.982,13.83
23.8313,11,1983,19.5985,13.83
18.8622,12,1983,32.1243,13.83
17.7947,1,1984,15.9246,14.38
19.9473,2,1984,4.05208,14.38
25.536,3,1984,9.63009,14.38
28.2474,4,1984,172.021,14.38
27.654,5,1984,507.684,14.38
27.886,6,1984,565.81,14.38
27.7393,7,1984,715.063,14.38
28.1933,8,1984,427.289,14.38
27.4938,9,1984,381.452,14.38
27.5528,10,1984,129.73,14.38
23.0039,11,1984,4.52029,14.38
19.6511,12,1984,6.63063,14.38
18.8171,1,1985,7.44035,15.68
20.6197,2,1985,10.7857,15.68
26.2622,3,1985,95.98,15.68
28.3044,4,1985,119.024,15.68
27.6409,5,1985,325.358,15.68
28.2298,6,1985,498.385,15.68
27.3083,7,1985,409.884,15.68
28.3917,8,1985,359.347,15.68
27.8588,9,1985,325.074,15.68
27.0872,10,1985,97.375,15.68
23.0949,11,1985,26.3739,15.68
20.4398,12,1985,5.6936,13.4
18.8875,1,1986,5.97641,13.4
21.0747,2,1986,2.43015,13.4
25.6098,3,1986,17.3861,13.4
27.0516,4,1986,179.735,13.4
27.6381,5,1986,210.662,13.4
28.897,6,1986,296.929,13.4
27.8074,7,1986,571.737,13.4
28.4925,8,1986,304.698,13.4
27.3405,9,1986,460.341,13.4
26.1029,10,1986,252.867,13.4
23.6914,11,1986,135.81,13.4
20.0478,12,1986,6.83946,13.4
18.9032,1,1987,3.04431,13.45
21.7238,2,1987,9.38784,13.45
24.8017,3,1987,57.131,13.45
27.4476,4,1987,210.204,13.45
28.508,5,1987,137.362,13.45
29.253,6,1987,521.268,13.45
28.0107,7,1987,589.099,13.45
28.1384,8,1987,634.122,13.45
28.2602,9,1987,357.247,13.45
27.3458,10,1987,119.269,13.45
24.2419,11,1987,29.0261,13.45
20.36,12,1987,15.8961,13.45
19.2634,1,1988,0.87756,12.53
21.7809,2,1988,31.1986,12.53
25.117,3,1988,70.323,12.53
28.2212,4,1988,205.354,12.53
27.9454,5,1988,418.672,12.53
28.0714,6,1988,517.33,12.53
28.1468,7,1988,546.468,12.53
28.1171,8,1988,479.413,12.53
28.5791,9,1988,281.161,12.53
27.4519,10,1988,164.222,12.53
24.2705,11,1988,91.5198,12.53
21.0501,12,1988,12.0457,12.53
17.5061,1,1989,2.88141,12.6
20.8075,2,1989,18.6473,12.6
25.0341,3,1989,15.3381,12.6
28.4778,4,1989,93.4202,12.6
29.0168,5,1989,287.091,12.6
28.2459,6,1989,370.973,12.6
28.1345,7,1989,480.33,12.6
28.5109,8,1989,176.275,12.6
28.1385,9,1989,333.963,12.6
27.0998,10,1989,270.976,12.6
23.3839,11,1989,3.81756,12.6
19.0009,12,1989,4.31961,12.6
19.473,1,1990,1.02665,12.81
21.1088,2,1990,45.7316,12.81
23.7713,3,1990,104.692,12.81
26.5503,4,1990,222.121,12.81
28.0107,5,1990,278.321,12.81
28.5531,6,1990,521.461,12.81
27.9207,7,1990,522.194,12.81
28.5019,8,1990,358.344,12.81
28.2556,9,1990,294.101,12.81
26.2772,10,1990,225.056,12.81
24.5595,11,1990,57.4948,12.81
20.1132,12,1990,15.7285,12.81
17.4518,1,1991,15.5629,13.08
21.7874,2,1991,28.323,13.08
25.9068,3,1991,41.9833,13.08
27.3361,4,1991,195.31,13.08
27.5258,5,1991,355.596,13.08
27.6036,6,1991,411.503,13.08
28.1626,7,1991,412.073,13.08
28.0767,8,1991,404.229,13.08
27.4425,9,1991,514.93,13.08
26.5558,10,1991,263.402,13.08
22.5562,11,1991,21.6794,13.08
18.5561,12,1991,28.904,13.08
17.4191,1,1992,6.15095,13.16
19.3065,2,1992,50.8807,13.16
25.1958,3,1992,9.63505,13.16
28.3228,4,1992,38.8075,13.16
27.3386,5,1992,207.565,13.16
28.3549,6,1992,273.337,13.16
27.6078,7,1992,462.745,13.16
28.0492,8,1992,318.474,13.16
27.7278,9,1992,272.882,13.16
26.5026,10,1992,135.043,13.16
23.0168,11,1992,6.02325,13.16
18.2444,12,1992,2.99477,13.16
18.1609,1,1993,9.06548,13.16
21.0757,2,1993,47.1214,13.16
23.4808,3,1993,87.7526,13.16
26.4466,4,1993,135.085,13.16
27.0991,5,1993,404.466,13.16
27.6713,6,1993,519.834,13.16
27.8916,7,1993,484.528,13.16
27.867,8,1993,458.954,13.16
27.4283,9,1993,356.76,13.16
26.6738,10,1993,143.515,13.16
23.2391,11,1993,18.7967,13.16
19.9446,12,1993,0.01082,13.16
18.7418,1,1994,13.981,13.6
19.7401,2,1994,27.5964,13.6
25.03,3,1994,89.831,13.6
27.1263,4,1994,164.774,13.6
28.5911,5,1994,204.148,13.6
28.0515,6,1994,373.326,13.6
28.3919,7,1994,317.352,13.6
28.3,8,1994,361.903,13.6
28.3021,9,1994,166.025,13.6
26.7137,10,1994,91.0517,13.6
23.1254,11,1994,9.18975,13.6
19.0129,12,1994,0.14889,13.6
17.7492,1,1995,9.51787,13.6
20.8723,2,1995,29.6508,13.6
25.2876,3,1995,21.9067,13.6
28.5657,4,1995,53.7673,13.6
29.2967,5,1995,212.226,13.6
28.8511,6,1995,410.046,13.6
27.984,7,1995,585.233,13.6
28.1941,8,1995,494.813,13.6
27.9357,9,1995,371.108,13.6
27.2994,10,1995,79.6197,13.6
23.7156,11,1995,140.99,13.6
19.1235,12,1995,1.21624,13.6
18.5789,1,1996,7.05748,14.8
20.6901,2,1996,22.9102,14.8
26.0952,3,1996,52.8844,14.8
27.8947,4,1996,166.541,14.8
28.6148,5,1996,232.497,14.8
28.0299,6,1996,397.807,14.8
28.1341,7,1996,436.68,14.8
27.7894,8,1996,386.234,14.8
28.2475,9,1996,258.422,14.8
26.6539,10,1996,263.608,14.8
23.5364,11,1996,6.52539,14.8
19.4872,12,1996,0.41104,14.8
17.9503,1,1997,9.95175,14.8
19.7434,2,1997,21.4791,14.8
25.302,3,1997,69.1094,14.8
25.8287,4,1997,148.762,14.8
28.2268,5,1997,205.94,14.8
28.2152,6,1997,438.014,14.8
28.0691,7,1997,525.725,14.8
28.2508,8,1997,381.913,14.8
27.6086,9,1997,398.26,14.8
26.2579,10,1997,45.9865,14.8
23.9015,11,1997,11.493,14.8
18.8273,12,1997,31.8516,14.8
17.7704,1,1998,19.5979,14.8
21.3817,2,1998,33.4868,14.8
23.833,3,1998,104.975,14.8
27.4558,4,1998,191.096,14.8
28.848,5,1998,228.972,14.8
29.2008,6,1998,368.339,14.8
28.1453,7,1998,651.001,14.8
28.2394,8,1998,468.56,14.8
28.6324,9,1998,274.832,14.8
28.6631,10,1998,174.975,14.8
24.228,11,1998,102.414,14.8
19.9801,12,1998,0.02981,14.8
18.9055,1,1999,0.3407,14.8
22.7454,2,1999,0.10675,14.8
26.2573,3,1999,5.22216,14.8
29.5091,4,1999,50.6288,14.8
27.9702,5,1999,322.274,14.8
28.5738,6,1999,338.123,14.8
27.9209,7,1999,800.869,14.8
27.8719,8,1999,453.255,14.8
27.7741,9,1999,340.816,14.8
27.2434,10,1999,272.28,14.8
23.7157,11,1999,12.5447,14.8
20.4159,12,1999,5.91518,14.8
17.8553,1,2000,20.0385,14.8
19.8796,2,2000,26.8679,14.8
24.1766,3,2000,76.7595,14.8
26.9379,4,2000,202.779,14.8
27.5459,5,2000,439.359,14.8
28.1653,6,2000,366.512,14.8
28.2621,7,2000,356.645,14.8
28.1104,8,2000,429.486,14.8
27.5094,9,2000,320.606,14.8
27.0526,10,2000,181.583,14.8
23.7323,11,2000,5.0709,14.8
19.4021,12,2000,0.21109,14.8
19.1684,1,2001,1.05632,14.8
22.1418,2,2001,8.84245,14.8
25.2322,3,2001,31.1425,14.8
28.0317,4,2001,113.584,14.8
28.0056,5,2001,385.625,14.8
27.9112,6,2001,437.875,14.8
28.1778,7,2001,355.399,14.8
28.4513,8,2001,394.333,14.8
28.6358,9,2001,247.686,14.8
27.4927,10,2001,250.576,14.8
24.3786,11,2001,21.9283,14.8
20.0203,12,2001,0.00843,14.8
18.7662,1,2002,16.0598,14.7
21.7798,2,2002,1.62475,14.7
25.6658,3,2002,54.9691,14.7
27.3997,4,2002,203.641,14.7
27.9866,5,2002,164.443,14.7
28.2914,6,2002,622.822,14.7
27.8864,7,2002,615.753,14.7
27.9693,8,2002,380.547,14.7
28.0888,9,2002,258.746,14.7
26.9426,10,2002,84.9505,14.7
24.0238,11,2002,127.723,14.7
20.2395,12,2002,0.62698,14.7
17.9398,1,2003,4.05949,14.7
20.9849,2,2003,13.9698,14.7
24.4467,3,2003,46.4431,14.7
28.153,4,2003,103.609,14.7
28.1068,5,2003,229.51,14.7
28.1032,6,2003,470.844,14.7
28.2792,7,2003,747.537,14.7
28.8776,8,2003,199.356,14.7
28.7275,9,2003,227.284,14.7
27.7419,10,2003,270.92,14.7
23.9283,11,2003,34.4858,14.7
19.2162,12,2003,25.0712,14.7
18.2838,1,2004,3.8527,14.7
20.9799,2,2004,3.20108,14.7
26.7782,3,2004,36.3113,14.7
27.3832,4,2004,226.008,14.7
29.1106,5,2004,202.54,14.7
28.3582,6,2004,539.037,14.7
27.6765,7,2004,319.079,14.7
28.5187,8,2004,244.488,14.7
28.2945,9,2004,247.653,14.7
26.3711,10,2004,345.506,14.7
23.2019,11,2004,6.17463,14.7
20.5304,12,2004,6.5125,14.7
18.7742,1,2005,13.6412,14.6
22.0334,2,2005,6.00206,14.6
25.8596,3,2005,73.5596,14.6
27.9591,4,2005,146.875,14.6
28.0449,5,2005,257.578,14.6
29.1435,6,2005,263.16,14.6
28.2297,7,2005,409.154,14.6
28.597,8,2005,220.255,14.6
28.3883,9,2005,282.964,14.6
26.9262,10,2005,236.316,14.6
23.3981,11,2005,5.77824,14.6
20.1779,12,2005,2.564,14.6
19.4921,1,2006,0.00249,14.6
23.6292,2,2006,6.08321,14.6
26.212,3,2006,7.92641,14.6
27.6793,4,2006,341.871,14.6
28.4904,5,2006,199.635,14.6
28.458,6,2006,274.958,14.6
28.6736,7,2006,428.041,14.6
28.6002,8,2006,320.256,14.6
28.5336,9,2006,361.797,14.6
27.4515,10,2006,112.708,14.6
